SIE,σ,x,y,e,$θ_{e}$,$r_{core}$,NaN,NFW,M,c or $r_{s}$,PERT,"$z_{s,fid}$",γ,$θ_{γ}$,κ
Input Value,Error,Error,Error,Error,Error,Error,Error,,,,,,,,
Opt Result,0.501,0.002,-0.001,0.21,31.5,0.0,0.0,,,,,,,,
Fixed,1,1,1,1,1,0,0,,,,,,,,
,,,,,,,,,,,,,,,
,,Error,Error,Error,Error,,Error,Input Value,Error,Error,,,,,
,,0.105,-0.095,0.1,120.0,,0.0,Opt Result,12.48,9.8,,,,,
,,1,1,0,0,,0,Fixed,1,1,,,,,
,,,,,,,,,,,,,,,
,,Error,Error,,,,Error,,,,Input Value,Error,Error,Error,Error
,,0.0,0.0,,,,0.0,,,,Opt Result,0.5,0.055,46.1,0.021
,,0,0,,,,0,,,,Fixed,0,1,1,1
